user_id,final_recs
1,"[848029, 1065593, 856942, 940947, 5577022]"
3,"[1013928, 1065593, 981760, 1092026, 951590]"
6,"[1108094, 1065593, 1038217, 1119051, 863447]"
7,"[5995072, 1065593, 1038217, 1122358, 1106523]"
8,"[995660, 879755, 1062966, 8181377, 1133018]"
9,"[12171886, 1065593, 981760, 1029743, 862799]"
13,"[9488065, 1065593, 981760, 1029743, 1038985]"
14,"[6533765, 1038217, 879755, 981760, 1029743]"
15,"[6443348, 1065593, 1038217, 1070820, 845208]"
16,"[848029, 1065593, 13007710, 1029743, 981760]"
17,"[12731432, 1065593, 1038217, 833351, 5568072]"
18,"[1065017, 1038217, 879755, 1128477, 1022066]"
19,"[6533765, 1038217, 893501, 962229, 879755]"
20,"[6533765, 1038217, 879755, 1075368, 894360]"
22,"[869874, 1038217, 879755, 1070820, 883003]"
23,"[958023, 879755, 1062966, 1075368, 1005274]"
24,"[970152, 1065593, 981760, 1036501, 1106523]"
25,"[921243, 879755, 1062966, 1029743, 1012284]"
26,"[1118807, 1038217, 879755, 978129, 5591154]"
27,"[897449, 981760, 879755, 1029252, 887503]"
28,"[5996184, 1038217, 981760, 1079878, 1112238]"
29,"[930283, 879755, 1062966, 935284, 5568378]"
30,"[848029, 1065593, 1106523, 859075, 981760]"
31,"[921438, 1038217, 879755, 1057260, 1040807]"
32,"[1137484, 1065593, 1038217, 820222, 1105488]"
33,"[12810472, 1065593, 1038217, 1106523, 968146]"
34,"[848029, 1038217, 993638, 1029743, 981760]"
35,"[848029, 1065593, 833648, 909472, 6534030]"
36,"[826666, 1065593, 879755, 1029743, 1097991]"
37,"[848029, 1065593, 1067695, 844165, 898448]"
39,"[848029, 1065593, 1126899, 880050, 1138487]"
40,"[964717, 1065593, 1038217, 903325, 1076587]"
41,"[874972, 1038217, 879755, 909714, 6961848]"
42,"[848029, 1065593, 981760, 946839, 1060673]"
43,"[6391137, 1065593, 981760, 844165, 1115800]"
46,"[6391152, 1065593, 1085604, 1029743, 862335]"
47,"[12262778, 1065593, 1038217, 6533681, 892294]"
48,"[5588365, 1065593, 1038217, 826816, 846760]"
49,"[901067, 1065593, 1038217, 5569471, 893501]"
52,"[1056740, 1065593, 879755, 1109680, 1053690]"
53,"[906335, 1065593, 1038217, 5569471, 902238]"
55,"[848029, 1065593, 844165, 995242, 1097280]"
56,"[975329, 1065593, 1038217, 1058997, 891415]"
57,"[848029, 1065593, 1133018, 1027168, 1139023]"
58,"[889681, 1065593, 879755, 1058997, 1054216]"
59,"[10457471, 1065593, 1038217, 957951, 981760]"
60,"[5588817, 1065593, 1038217, 1029743, 1073150]"
63,"[897733, 1065593, 1038217, 1062572, 892144]"
64,"[1013928, 1085604, 1062966, 1065593, 856060]"
65,"[1095964, 1065593, 1038217, 1070820, 962229]"
67,"[1034176, 1065593, 879755, 971922, 9420067]"
68,"[1134483, 1062966, 893501, 1085604, 1029743]"
69,"[836445, 879755, 893501, 951590, 1133018]"
70,"[848029, 1065593, 1039156, 1029743, 981760]"
71,"[1008288, 1065593, 1038217, 1056509, 1044078]"
72,"[5592232, 1038217, 981760, 862349, 8019681]"
73,"[924820, 1065593, 1038217, 7024847, 10456613]"
74,"[848029, 1065593, 1085369, 981760, 830795]"
75,"[848029, 1065593, 562184, 721353, 1029743]"
76,"[848029, 1065593, 1054080, 1029743, 981760]"
77,"[930870, 1065593, 879755, 1106523, 6979128]"
78,"[848029, 1038217, 8205218, 6773232, 5995609]"
79,"[1103513, 1065593, 879755, 1053690, 1067271]"
80,"[1013928, 1065593, 1038217, 878996, 1055504]"
81,"[7152889, 893501, 1119051, 1029743, 1068719]"
82,"[12810464, 1065593, 1038217, 836445, 1000753]"
83,"[848029, 1038217, 819302, 923746, 967929]"
84,"[848029, 1065593, 903529, 829722, 995242]"
85,"[945086, 1085604, 1062966, 983936, 961554]"
86,"[969725, 1065593, 1038217, 865026, 951590]"
87,"[968297, 1065593, 1038217, 1008820, 6391089]"
88,"[819423, 879755, 833025, 8090521, 1075368]"
89,"[848029, 1065593, 9487769, 1029743, 981760]"
90,"[848029, 1065593, 942299, 1070820, 6464166]"
91,"[848029, 1038217, 1029743, 838637, 1024833]"
92,"[848029, 1065593, 6391089, 871061, 845208]"
94,"[848029, 1065593, 1005186, 992529, 1029743]"
95,"[1088771, 879755, 1062966, 995242, 908531]"
97,"[1034176, 879755, 893501, 995242, 1060318]"
98,"[15972298, 879755, 833025, 1091858, 1095040]"
99,"[948670, 1065593, 879755, 824073, 1013528]"
101,"[6533765, 1065593, 981760, 1106523, 909894]"
103,"[848029, 1065593, 961846, 1105488, 1079228]"
104,"[906335, 1038217, 879755, 995242, 1011300]"
105,"[848029, 1065593, 1062966, 1135868, 1005186]"
106,"[848029, 1065593, 896516, 5569230, 1109832]"
108,"[5591777, 1065593, 1038217, 962266, 1029743]"
109,"[848029, 1065593, 1058997, 996955, 856215]"
110,"[841236, 879755, 833025, 1133018, 860975]"
111,"[848029, 1065593, 1133018, 932179, 847982]"
112,"[848029, 1065593, 1105615, 9527159, 852856]"
113,"[933354, 1038217, 1085604, 1070820, 833458]"
114,"[948670, 1038217, 981760, 1029743, 885697]"
115,"[12582055, 1065593, 1038217, 1101010, 983584]"
116,"[1014732, 1038217, 879755, 1133018, 908531]"
117,"[12731432, 879755, 1062966, 862349, 901062]"
118,"[9296795, 1065593, 1038217, 1058997, 893018]"
119,"[1092750, 1065593, 879755, 1029743, 12554515]"
120,"[848029, 1065593, 1007136, 1082311, 1029743]"
121,"[874972, 1065593, 879755, 1029743, 989069]"
122,"[848029, 981760, 879755, 5569230, 6464147]"
123,"[874972, 879755, 1092026, 1056509, 844179]"
124,"[5590465, 1065593, 1038217, 1106523, 833025]"
125,"[7410217, 1085604, 1062966, 1029743, 844165]"
127,"[904129, 1062966, 833025, 1044078, 1106523]"
128,"[850028, 1065593, 1038217, 1051516, 9420337]"
131,"[948670, 1065593, 1038217, 1029743, 821083]"
132,"[1108094, 1065593, 1038217, 1058997, 999198]"
